商品名,テイスティングノート,URL,原産国,地域,ブランド,メーカー,アルコール度数（%）,容量 (ml／g),銘柄,ビンテージ,年数
クラシック オブ アイラ (10L樽),,https://www.saketry.com/103120.html,スコットランド,アイラ,エイジング・バレル,スコッチモルト・セールス,58,10000,,,
ハイランド・クラシック (10L樽),,https://www.saketry.com/103237.html,スコットランド,ハイランド,エイジング・バレル,スコッチモルト・セールス,,10000,,,
クラシック オブ アイラ 58% 700mlスコッチモルトセールス,,https://www.saketry.com/105095.html,スコットランド,アイラ,,スコッチモルト・セールス,58,700,,,
タリバーディン 1991 19年 46％ザ・モルトマン,,https://www.saketry.com/110066.html,スコットランド,ハイランド,ザ・モルトマン,メドウサイド・ブレンディング,46,700,タリバーディン蒸留所,1991,19
燻酒 アイラ シングルモルト 50% 700ml燻酒,,https://www.saketry.com/110371.html,スコットランド,アイラ,燻酒,スコッチモルト・セールス,50,700,,,
ミズナラウッドリザーブ 46%イチローズモルト,,https://www.saketry.com/110408.html,日本,秩父,イチローズモルト,ベンチャー・ウイスキー,46,700,,,
イチローズモルトワインウッドリザーブ 46% 700mlイチローズモルト,,https://www.saketry.com/110409.html,日本,秩父,イチローズモルト,ベンチャー・ウイスキー,46,700,,,
アラン ポートカスク・フィニッシュ 50%,"香り：ベイクドアップル、スパイス、ビターオレンジ。
味わい：バニラ、シトラス、ドライフルーツ、ナッツ、チョコレート。",https://www.saketry.com/110484.html,スコットランド,アイランズ,,Whisk-e Limited,50,700,,,
ティーリング シングルモルト 46% 700mlティーリング,"香り：　メロン、イチジク、トフィーとレモン。
味わい：　ドライドフルーツ、シトラス、バニラ、スパイスとクローブ。
フィニッシュ：ドライタンニン、甘さが長く感じる。",https://www.saketry.com/110503.html,アイルランド,,ティーリング,ティーリングウイスキー社,46,700,ティーリング蒸留所,,
アードレア　2009　5年　50.4%リキッドサン,,https://www.saketry.com/110540.html,スコットランド,ハイランド,リキッドサン,,50.4,700,,2009,5
コーヴァル バーボン 47% 750mlコーヴァル,,https://www.saketry.com/110545.html,アメリカ,シカゴ,コーヴァル,コーヴァル,47,750,,,
コーヴァル フォーグレーン 47% 750mlコーヴァル,,https://www.saketry.com/110546.html,アメリカ,シカゴ,コーヴァル,コーヴァル,47,750,,,
コーヴァル　ミレット　40%,,https://www.saketry.com/110547.html,アメリカ,シカゴ,コーヴァル,コーヴァル,40,750,,,
コーヴァル　ライ　40%,,https://www.saketry.com/110548.html,アメリカ,シカゴ,コーヴァル,,40,750,,,
アムルット　シングルモルト　ミニチュア　46%アムルット・ディスティラリー,,https://www.saketry.com/110574.html,インド,バンガロール,アムルット,,46,50,アムルット蒸溜所,,
アムルット　フュージョン　シングルモルト　ミニチュア　50%アムルット・ディスティラリー,,https://www.saketry.com/110575.html,インド,バンガロール,アムルット,,50,50,アムルット蒸溜所,,
アムルット　ピーテッド　シングルモルト　ミニチュア　46%アムルット・ディスティラリー,,https://www.saketry.com/110576.html,インド,バンガロール,アムルット,,46,50,アムルット蒸溜所,,
トマーティン　クアトロ　46%　（750ml×4本）,,https://www.saketry.com/110588.html,スコットランド,ハイランド,トマーティン,,46,750,,,
ディーンストン　2006　8年　シェリーフィニッシュ　56.5%カスク＆シスル,,https://www.saketry.com/110614.html,スコットランド,ハイランド,カスク＆シスル,ザ・ハイランド＆アイランズ・スコッチウイスキー,56.5,700,ディーンストン蒸留所,2006,8
ウシュクベ・リザーブ　43%トゥエンティオークス,,https://www.saketry.com/110624.html,スコットランド,,ウシュクベ,,43,700,,,
ウルフバーン ノースランド 46% 700mlウルフバーン,,https://www.saketry.com/110708.html,スコットランド,ハイランド,ウルフバーン,ウルフバーン,46,700,ウルフバーン蒸溜所,,
キルホーマン　サナイグ　46%,,https://www.saketry.com/110740.html,スコットランド,アイラ,,,46,700,キルホーマン蒸溜所,,
トマーティン 12年 43% 700mlトマーティン,,https://www.saketry.com/110810.html,スコットランド,ハイランド,,,43,700,,,
ウルフバーン オーロラ 46% 700mlウルフバーン,,https://www.saketry.com/110833.html,スコットランド,ハイランド,ウルフバーン,ウルフバーン,46,700,ウルフバーン蒸溜所,,
アラン ソーテルヌ・カスク・フィニッシュ 50%,香り： 蜂蜜、柑橘、アプリコット、メロン。,https://www.saketry.com/110890.html,スコットランド,アイランズ,ワインカスクシリーズ,,50,700,アイル オブ アラン蒸溜所,,
アラン　マクリー・ムーア　46%,,https://www.saketry.com/110891.html,スコットランド,アイランズ,,,46,700,,,
アラン　マクリー・ムーア　カスクストレングス　58.2%,,https://www.saketry.com/110892.html,スコットランド,アイランズ,,,58.2,700,,,
トマーティン　1995　21年　オロロソ・フィニッシュ　46%,,https://www.saketry.com/110896.html,スコットランド,ハイランド,,,46,700,,,
トマーティン　ク・ボカン　2005　11年　リミテッド・エディション　46%,,https://www.saketry.com/110897.html,スコットランド,ハイランド,,,46,700,,,
トマーティン　カスクストレングス　57.5%,,https://www.saketry.com/110974.html,スコットランド,ハイランド,,,57.5,700,,,
トマーティン　18年　46%,,https://www.saketry.com/110975.html,スコットランド,ハイランド,,,43,700,,,
ブレンデッド モルト スコッチ ウイスキー キメラ Cask ref:CH1-2016 46% 700mlブラックアダー,"香り：甘いシェリーの味わい、バニラ、アプリコットと完熟のバナナ、ほんのりとタバコの香りとピートの香り。これらの香りがカラメルのように渾然一体となってグラスからが立ちのぼる。加水により、レザーのような香りが出る。
味わい：香りと同様、甘みが感じられるとともに、やわらかなピートの味わいが広がる。加水すると、はじめに感じる甘味の後に、レザーやウッディーさとともにほのかなミルクチョコレートが感じられる。",https://www.saketry.com/110995.html,スコットランド,,,ブラックアダー,46,700,,,
ピートリーク エンバース EMB3 59%ブラックアダー,"香り：スモーキーでピーティ。カリカリのベーコンのハチミツがけ。ハム、革。
味わい：濃いハチミツのような、なめらかな甘さ。ホワイトペッパーのような刺激の後、ピーティな味わいが広がる。
フィニッシュ：柔らかな甘みと燻したような香りが長く続く。",https://www.saketry.com/111007.html,スコットランド,アイラ,ピートリーク,ブラックアダー,59,700,,,
キルホーマン ロッホゴルム 2017リリース 46% 700ml キルホーマン,,https://www.saketry.com/111020.html,スコットランド,アイラ,キルホーマン,Kilchoman Distillery,46,700,キルホーマン蒸溜所,2009,7
ウルフバーン モーヴェン 46% 700mlウルフバーン,,https://www.saketry.com/111060.html,スコットランド,ハイランド,ウルフバーン,ウルフバーン,46,700,ウルフバーン蒸溜所,,
トマーティン 2001 16年 52.5%ザ・クーパーズ・チョイス,,https://www.saketry.com/111145.html,スコットランド,ハイランド,ザ・クーパーズ・チョイス,ザ・ビンテージモルト,52.5,700,,2001,16
ウシュクベ  カスク プルーフ 10L樽 50%トゥエンティオークス,,https://www.saketry.com/111151.html,スコットランド,,エイジング・バレル,,50,10000,,,
トマーティン ファイブ ヴァーチューズ ウッド 46% 700mlトマーティン,,https://www.saketry.com/111161.html,スコットランド,ハイランド,,Tomatin distillery,46,700,,,
トマーティン ファイブ ヴァーチューズ ファイア 46% 700mlトマーティン,,https://www.saketry.com/111162.html,スコットランド,ハイランド,,Tomatin distillery,46,700,,,
ウルフバーン Batch No.270 46%,,https://www.saketry.com/111170.html,スコットランド,ハイランド,ウルフバーン,,46,700,,,
ウルフバーン キルヴァー 3 50%,,https://www.saketry.com/111186.html,スコットランド,ハイランド,ウルフバーン,ウルフバーン,50,700,ウルフバーン蒸溜所,,
ベンリネス 2001 15年 46% 700mlザ・クーパーズ・チョイス,,https://www.saketry.com/111190.html,スコットランド,スペイサイド,ザ・クーパーズ・チョイス,ザ・ビンテージモルト,46,700,ベンリネス蒸留所,2001,15
ブナハーブン 2005 12年 48%クランデニー,,https://www.saketry.com/111198.html,スコットランド,アイラ,クランデニー,ダグラス・マクギボン,48,700,ブナハーブン蒸留所,2005,12
フェッターケアン 2007 10年 48%クランデニー,,https://www.saketry.com/111199.html,スコットランド,ハイランド,クランデニー,ダグラス・マクギボン,48,700,フェッターケアン蒸留所,2007,10
グレンバーギー 2009 7年 48%クランデニー,,https://www.saketry.com/111200.html,スコットランド,スペイサイド,クランデニー,ダグラス・マクギボン,48,700,グレンバーギー蒸留所,2009,7
スペイバーン 2008 8年 48%クランデニー,,https://www.saketry.com/111201.html,スコットランド,スペイサイド,クランデニー,ダグラス・マクギボン,48,700,スペイバーン蒸留所,2008,8
ポール・ジョン エディテッド 46% 700mlポール・ジョン,,https://www.saketry.com/111211.html,インド,バンガロール,,ジョン・ディスティラリーズ,46,700,,,
ポール・ジョン ボールド 46% 700mlポール・ジョン,,https://www.saketry.com/111212.html,インド,バンガロール,,ジョン・ディスティラリーズ,46,700,,,
ポール・ジョン クラシック 55.2% 700mlポール・ジョン,,https://www.saketry.com/111213.html,インド,バンガロール,,ジョン・ディスティラリーズ,55.2,700,,,
ポール・ジョン ピーテッド 55.5% 700mlポール・ジョン,,https://www.saketry.com/111214.html,インド,バンガロール,,ジョン・ディスティラリーズ,55.5,700,,,
キルホーマン 2011 6年 フレッシュ・バーボン 58% スコッチモルトセレクション,,https://www.saketry.com/111216.html,スコットランド,アイラ,キルホーマン,Kilchoman Distillery,58,700,キルホーマン蒸溜所,2011,6
トマーティン ファイブ ヴァーチューズ ウォーター 46% 700mlトマーティン,香り：完熟した果実に、チョコレートハニーコムが感じられます。味わい：リッチなトフィーとマジパンに、ブラッドオレンジのマーマレードが加わります。フィニッシュ：温かく、オイリーさがゆっくりと広がります。,https://www.saketry.com/111219.html,スコットランド,ハイランド,,Tomatin distillery,46,700,,,
トマーティン ファイブ ヴァーチューズ メタル 46% 700mlトマーティン,,https://www.saketry.com/111220.html,スコットランド,ハイランド,,Tomatin distillery,46,700,,,
ダルユーイン 2007 10年 48%クランデニー,,https://www.saketry.com/111229.html,スコットランド,スペイサイド,クランデニー,ダグラス・マクギボン,48,700,ダルユーイン蒸留所,2007,10
トマーティン 14年 ポートカスク 46% 700mlトマーティン,,https://www.saketry.com/111247.html,スコットランド,ハイランド,,Tomatin distillery,46,700,,,14
キルホーマン マキヤーベイ グラス１脚付きセット 46.0% 700ml,,https://www.saketry.com/111249.html,スコットランド,アイラ,キルホーマン,,46,700,,,
ウルフバーン ラングスキップ 58% 700mlウルフバーン,,https://www.saketry.com/111253.html,スコットランド,ハイランド,ウルフバーン,ウルフバーン,58,700,ウルフバーン蒸溜所,,
ウルフバーン ノースランド ミニチュア 46% 50mlウルフバーン,,https://www.saketry.com/111261.html,スコットランド,ハイランド,ウルフバーン,ウルフバーン,46,50,ウルフバーン蒸溜所,,
ウルフバーン モーヴェン ミニチュア 46% 50mlウルフバーン,,https://www.saketry.com/111262.html,スコットランド,ハイランド,ウルフバーン,ウルフバーン,46,50,ウルフバーン蒸溜所,,
ベンリネス 1997 16年 56.5% 700mlハートブラザーズ ファイネスト・コレクション,,https://www.saketry.com/111275.html,スコットランド,スペイサイド,ハートブラザーズ ファイネストコレクション,ハート・ブラザーズ,56.5,700,ベンリネス蒸留所,1997,16
ポール・ジョン カニャ 50%ポール・ジョン,,https://www.saketry.com/111283.html,インド,,ポール・ジョン,ポール・ジョン,50,700,,,
フェッターケアン 2007 11年 60.1%クランデニー,,https://www.saketry.com/111293.html,スコットランド,ハイランド,クランデニー,ダグラス・マクギボン,60.1,700,フェッターケアン蒸留所,2007,11
ブナハーブン 2007 10年 57.5%クランデニー,,https://www.saketry.com/111294.html,スコットランド,アイラ,クランデニー,ダグラス・マクギボン,57.5,700,,2007,10
スペイサイド　ブレンデッド・モルト 46%　ザ・スピークイージー,,https://www.saketry.com/111331.html,スコットランド,スペイサイド,ザ・スピークイージー,ダグラス・マクギボン,46,700,,,
ローランド　ブレンデッド・モルト 46%ザ・スピークイージー,,https://www.saketry.com/111332.html,スコットランド,ローランド,ザ・スピークイージー,ダグラス・マクギボン,46,700,,,
モートラック 2007 11年 53.0%クランデニー,,https://www.saketry.com/111346.html,スコットランド,スペイサイド,クランデニー,ダグラス・マクギボン,53,700,モートラック蒸留所,2007,11
ウルフバーン キルヴァー 4 50.0%,,https://www.saketry.com/111349.html,スコットランド,ハイランド,ウルフバーン,ウルフバーン,50,700,ウルフバーン蒸溜所,,
グレンアラヒー 12年 46% 700ml,"香り：ヘザーハニー、シナモン、バタースコッチ、ソフトレーズン、モカ。
味わい：オレンジ、ヘザーハニー、プラム、モカ、ダークチョコレート、イチジク、デーツ、シナモン。",https://www.saketry.com/111351.html,スコットランド,スペイサイド,グレンアラヒー,GlenAllachie Distillery,46,700,,,12
ハイランド ブレンデッド・モルト 46% 700mlザ・スピークイージー,,https://www.saketry.com/111361.html,スコットランド,ハイランド,ザ・スピークイージー,ダグラス・マクギボン,46,700,,,
アイランズ　ブレンデッド・モルト 46%ザ・スピークイージー,,https://www.saketry.com/111362.html,スコットランド,アイランズ,ザ・スピークイージー,ダグラス・マクギボン,46,700,,,
クレイゲラキ 2010 8年 48% 700mlクランデニー,,https://www.saketry.com/111405.html,スコットランド,スペイサイド,クランデニー,ダグラス・マクギボン,48,700,クレイゲラキ蒸留所,2010,8
オスロスク スペイサイド デザート バニュルス フィニッシュ 58.5%ザ・クーパーズチョイス,,https://www.saketry.com/111410.html,スコットランド,スペイサイド,ザ・クーパーズ・チョイス,ザ・ビンテージモルト,58.5,700,オスロスク蒸溜所,,
アイル オブ ジュラ 1998 20年 SMS 40周年記念 52.2%スコッチモルト販売,,https://www.saketry.com/111425.html,スコットランド,アイランズ,ディスティラリーズ・コレクション,スコッチモルト・セールス,52.2,700,アイル オブ ジュラ蒸溜所,1988,20
アードモア 1998 20年 51.6%ザ・シングルモルツ・オブ・スコットランド,,https://www.saketry.com/111435.html,スコットランド,ハイランド,ザ・ウイスキー・エクスチェンジ,Elixir Distillers,51.6,700,アードモア蒸溜所,1998,20
プロメテウス 28年 リミテッド・リリース 53.0%プロメテウス,,https://www.saketry.com/111442.html,スコットランド,スペイサイド,プロメテウス,グラスゴー・ディスティラリー,53,700,マッカラン蒸留所,,28
1770 グラスゴー シングルモルト リリース No.2 46%,,https://www.saketry.com/111443.html,スコットランド,ローランド,グラスゴー,グラスゴー・ディスティラリー,46,500,グラスゴー蒸留所,,
リトルミル 1988 30年 シェリー・バット 51.1% 700mlハートブラザーズ レジェンズ,,https://www.saketry.com/111444.html,スコットランド,ローランド,レジェンズ,ハート・ブラザーズ,51.1,700,リトルミル蒸留所,1988,30
ダルモア 2007 11年 ポートパイプ 55.1% 700mlハートブラザーズ ファイネット コレクション,,https://www.saketry.com/111451.html,スコットランド,ハイランド,ハートブラザーズ ファイネストコレクション,ハート・ブラザーズ,55.1,700,ダルモア蒸留所,2007,11
ダルモア 2007 11年 シェリーバット 55.6% 700mlハートブラザーズ ファイネット コレクション,,https://www.saketry.com/111452.html,スコットランド,ハイランド,ハートブラザーズ ファイネストコレクション,ハート・ブラザーズ,55.6,700,ダルモア蒸留所,2007,11
ダルモア 2007 11年 57.5% 700mlハートブラザーズ ファイネット コレクション,,https://www.saketry.com/111453.html,スコットランド,ハイランド,,ハート・ブラザーズ,57.5,700,ダルモア蒸留所,2007,11
レダイグ 2005 11年 シェリーバット 56.5%ハートブラザーズ ファイネスト コレクション,,https://www.saketry.com/111454.html,スコットランド,アイランズ,ハートブラザーズ ファイネストコレクション,ハート・ブラザーズ,56.5,700,,2005,11
グレントファース 1996 22年 50.2% 700mlハートブラザーズ ファイネット コレクション,,https://www.saketry.com/111455.html,スコットランド,スペイサイド,ハートブラザーズ ファイネストコレクション,ハート・ブラザーズ,50.2,700,グレントファース蒸留所,1996,22
カンバス 1990 28年 トリプルカスク 48.3%ザ・グレーンマン,,https://www.saketry.com/111462.html,スコットランド,ローランド,ザ・グレーンマン,メドウサイド・ブレンディング,48.3,700,,1990,
ガーヴァン 1993 25年 ポート・フィニッシュ 55.5% 700mlザ・グレーンマン,,https://www.saketry.com/111463.html,スコットランド,ローランド,ザ・グレーンマン,メドウサイド・ブレンディング,55.5,700,,1993,
シングルモルト駒ケ岳 リミテッド・エディション 2019 48%,,https://www.saketry.com/111477.html,日本,信州,シングルモルト駒ケ岳,本坊酒造,48,700,,,
宗像教授ラベル・スペイサイドリージョン 1979 38年 42.8％,,https://www.saketry.com/111484.html,スコットランド,,,小学館,42.8,700,,1979,
アードモア 1999 20年 ジョイント ウィズ ドランケンマスター 53.5%ディスティラリーズ・コレクション,,https://www.saketry.com/111488.html,スコットランド,ハイランド,ディスティラリーズ・コレクション,スコッチモルト・セールス,53.5,700,,1999,
ブナハーブン ヘヴィリーピーテッド  ハニースモーク 56.6%ザ・クーパーズチョイス,,https://www.saketry.com/111489.html,スコットランド,アイラ,ザ・クーパーズ・チョイス,ザ・ビンテージモルト,56.5,700,,,
シークレット オークニー 2009 10年 58.0%ザ・クーパーズチョイス,,https://www.saketry.com/111490.html,スコットランド,アイランズ,ザ・クーパーズ・チョイス,ザ・ビンテージモルト,58,700,,2009,
グレンギリー 2011 8年 マデイラ・フィニッシュ 53.5%ザ・クーパーズチョイス,,https://www.saketry.com/111491.html,スコットランド,ハイランド,ザ・クーパーズ・チョイス,ザ・ビンテージモルト,53.5,700,,2011,
オールドロスデュー 1994 25年 バーボン・フィニッシュ 48.5%ザ・クーパーズチョイス,,https://www.saketry.com/111492.html,スコットランド,ハイランド,ザ・クーパーズ・チョイス,ザ・ビンテージモルト,48.5,700,,1994,
キルノートン リオハ・カスク 54.0%ザ・クーパーズチョイス,,https://www.saketry.com/111493.html,スコットランド,アイラ,ザ・クーパーズ・チョイス,ザ・ビンテージモルト,54,700,,,
キャメロンブリッジ 1984 35年 44.5%ザ・クーパーズチョイス,,https://www.saketry.com/111494.html,スコットランド,ローランド,ザ・クーパーズ・チョイス,ザ・ビンテージモルト,44.5,700,,1984,35
ウルフバーン スコッチモルト販売 40周年記念ボトル　50％ウルフバーン,,https://www.saketry.com/111497.html,スコットランド,ハイランド,ウルフバーン,,50,700,,,
バルメナック 2008 11年 シェリーバット 56.5% 700mlハートブラザーズ ファイネット コレクション,,https://www.saketry.com/111499.html,スコットランド,スペイサイド,ハートブラザーズ ファイネストコレクション,ハート・ブラザーズ,56.5,700,バルメニャック蒸留所,2008,
プルトニー 2006 13年 シェリーバット 53.6% 700mlハートブラザーズ ファイネスト・コレクション,,https://www.saketry.com/111500.html,スコットランド,ハイランド,ハートブラザーズ ファイネストコレクション,ハート・ブラザーズ,53.6,700,プルトニー蒸溜所,2006,
キングスバーンズ ドリーム・トゥ・ドラム シングルモルト 46％ 700mlウィームス,,https://www.saketry.com/111502.html,スコットランド,ローランド,キングスバーンズ,Wemyss Malts,46,700,,,
グレンアラヒー 1990 29年 オロロソシェリーパンチョン 58.2％グレンアラヒー,,https://www.saketry.com/111504.html,スコットランド,スペイサイド,グレンアラヒー,グレンアラヒー,58.2,700,,1990,
アードベッグ 2005 13年 バッチ17 48.4%ブティックウイスキー,,https://www.saketry.com/111505.html,スコットランド,アイラ,ブティックウイスキー,,48.5,500,,2005,
アラン 22年 バッチ8 48.4%ブティックウイスキー,香り：バニラ、バナナ、トーストしたオーク、スパイス、杉 味：ミルクチョコレート、桃、パイナップル、麦の甘み、バタースコッチ、コーヒー豆,https://www.saketry.com/111506.html,スコットランド,アイラ,ブティックウイスキー,,48.4,500,,,
フェッターケアン 21年 バッチ3 48.6%ブティックウイスキー,香り：焼きリンゴ、プラム、ラズベリージャム、ジンジャーブレッド 味：シトラス、グーズベリー、トフィー、バニラ,https://www.saketry.com/111507.html,スコットランド,ハイランド,ブティックウイスキー,,48.6,500,,,
ブルックラディ 13年 バッチ11 47.6%ブティックウイスキー,香り：パイナップル、リンゴ、松 味：マンゴー、オレンジ、洋梨、リコリス、潮、スパイス,https://www.saketry.com/111508.html,スコットランド,アイラ,ブティックウイスキー,,47.6,500,,,
アラン マルサラカスク・フィニッシュ 2018 リミテッドエディション 50%アラン,,https://www.saketry.com/111509.html,スコットランド,アイランズ,アラン,Isle of Arran Distillers Ltd,50,700,アイル オブ アラン蒸溜所,2018,
アラン マスター・オブ・ディスティリング２ 12年 51.8%アラン,,https://www.saketry.com/111510.html,スコットランド,アイランズ,アラン,Isle of Arran Distillers Ltd,51.8,700,アイル オブ アラン蒸溜所,,
アラン コート・ロティカスク・フィニッシュ 2019 リミテッドエディション 50%アラン,,https://www.saketry.com/111511.html,スコットランド,アイランズ,アラン,Isle of Arran Distillers Ltd,50,700,アイル オブ アラン蒸溜所,,
ティーリング シングルポットスティル 46％ 700ml,"香り：　ハチミツ、グレープフルーツとシトラス。
味わい：　ライチ、ペッパー、ローステッドピーチとベイクドビスケット。
フィニッシュ：　ドライで、スパイス、ローステッドアーモンドとメープルシュガー。",https://www.saketry.com/111513.html,アイルランド,,ティーリング,ティーリングウイスキー社,46,700,ティーリング蒸留所,,
コンパスボックス オーク・クロス 43％コンパスボックス,"香り：ハーブ、花のような芳香性、ミックススパイス
味わい：バニラのようななソフトさ、タンジェジン、レモン、リンゴ
フィニッシュ：甘さがありながらスパイシーなフィニッシュ",https://www.saketry.com/111514.html,スコットランド,,オーククロス,コンパスボックス,43,700,,,
コンパスボックス ザ・ストーリー・オブ・ザ・スパニアード 43%  バッチナンバー 2018-Bコンパスボックス,"香り：赤ワインのような香り、シトラス、スパイス、洋ナシ
味わい：バニラパンナコッタ、ベリー、チェリー
フィニッシュ：長く豊潤な甘さ、スパイシーな余韻",https://www.saketry.com/111515.html,スコットランド,,ザ・ストーリー・オブ・ザ・スパニアード,コンパスボックス,43,700,,,
"ブナハーブン 1987 31年 ""Raisin D'Etre"" 44.7%ウィームス",,https://www.saketry.com/111522.html,スコットランド,アイラ,ウィームス,Wemyss Malts,44.7,700,,1987,
"グレングラント 1995 23年 ""Summer Sipping"" 46.0%ウィームス",,https://www.saketry.com/111524.html,スコットランド,スペイサイド,ウィームス,Wemyss Malts,46,700,,1995,
スパイスキング ブレンデッドモルト 46%ウィームス,,https://www.saketry.com/111530.html,スコットランド,,,Wemyss Malts,46,700,,,
長濱蒸溜所 ニューメイク 59% 500ml長濱蒸溜所,,https://www.saketry.com/111531.html,日本,滋賀県,長濱蒸留所,長濱蒸留所,59,500,長濱蒸留所,,
ピート・チムニー ブレンデッドモルト 46% 700mlウィームス,,https://www.saketry.com/111532.html,スコットランド,,,Wemyss Malts,46,700,,,
ブレアソール 1991 24年 Nuts Pears 46%ウィームス,,https://www.saketry.com/111533.html,スコットランド,ハイランド,ウィームス,Wemyss Malts,46,700,,1991,
ブナハーブン 1991 27年 Toasted Brioche 46%ウィームス,,https://www.saketry.com/111534.html,スコットランド,アイラ,ウィームス,Wemyss Malts,46,700,,1991,
ブナハーブン 1988 30年 Antique Pomander 46%ウィームス,,https://www.saketry.com/111535.html,スコットランド,アイラ,ウィームス,Wemyss Malts,46,700,,,
ウルフバーン キルヴァー 5 50%キルヴァー・シリーズ,,https://www.saketry.com/111537.html,スコットランド,ハイランド,ウルフバーン,,50,700,,,
キン肉マン正義超人ラベル・ブレンデッドモルト2001 17年 46.5%,,https://www.saketry.com/111546.html,スコットランド,,,小学館,46.5,700,,2001,
おやすみカラスまた来てね。ラベル・バーンサイド 1996 22年 50.4％,,https://www.saketry.com/111550.html,スコットランド,,,小学館,50.4,700,,1996,
アランバレルリザーブ 43% 700ml,,https://www.saketry.com/111562.html,スコットランド,アイランズ,アラン,Isle of Arran Distillers Ltd,43,700,アイル オブ アラン蒸溜所,,
アランシェリーカスク 55.8% 700ml,,https://www.saketry.com/111563.html,スコットランド,アイランズ,アラン,Isle of Arran Distillers Ltd,55.8,700,アイル オブ アラン蒸溜所,,
アランクウォーターカスク 56.2% 700ml,,https://www.saketry.com/111564.html,スコットランド,アイランズ,アラン,Isle of Arran Distillers Ltd,56.2,700,アイル オブ アラン蒸溜所,,
アラン 18年 46%アラン,"香り：シロップ漬けのアプリコット、ダークフルーツ、トーストしたオーク
味わい：キャラメルゼしたオレンジ、焼いた桃、バニラ、チョコレート、ブラウンシュガーの甘味。",https://www.saketry.com/111566.html,スコットランド,アイランズ,アラン,,46,700,アイル オブ アラン蒸溜所,,18
リンクウッド 2010 9年 トーニーポートカスク 56%クーパーズチョイス,,https://www.saketry.com/111569.html,スコットランド,スペイサイド,ザ・クーパーズ・チョイス,ザ・ビンテージモルト,56,700,リンクウッド蒸留所,2010,
オスロスク スペイサイドデザート モスカテルフィニッシュ 58.5%クーパーズチョイス,,https://www.saketry.com/111571.html,スコットランド,スペイサイド,ザ・クーパーズ・チョイス,ザ・ビンテージモルト,58.5,700,オスロスク蒸溜所,,
インペリアル 1995 48.2%シングルモルツオブスコットランド,,https://www.saketry.com/111573.html,スコットランド,スペイサイド,ザ・ウイスキー・エクスチェンジ,Elixir Distillers,48.2,700,,1995,
ウィリアムソン ラフロイグ 2012 7年 55.1%ザ・モルトマン,,https://www.saketry.com/111583.html,スコットランド,アイラ,ザ・モルトマン,メドウサイド・ブレンディング,55.1,700,ラフロイグ,2012,11
ベンネヴィス 1997 22年 52.0%ザ・モルトマン,,https://www.saketry.com/111584.html,スコットランド,ハイランド,ザ・モルトマン,メドウサイド・ブレンディング,52,700,ベンネヴィス蒸留所,1997,42
ヴァイタルスパーク 2013 5年 54.9%メドウサイド,,https://www.saketry.com/111585.html,スコットランド,,,メドウサイド・ブレンディング,54.9,500,,2013,14
レダイグ 2007 12年 52.7%ザ・モルトマン,,https://www.saketry.com/111586.html,スコットランド,アイランズ,ザ・モルトマン,メドウサイド・ブレンディング,52.7,700,,2007,12
リンクウッド 2007 11年 52.1%ザ・モルトマン,,https://www.saketry.com/111587.html,スコットランド,スペイサイド,ザ・モルトマン,メドウサイド・ブレンディング,52.1,700,リンクウッド蒸留所,2007,9
エクスカリバー 1972 45年 42.2%メドウサイド,,https://www.saketry.com/111588.html,スコットランド,,エクスカリバー,メドウサイド・ブレンディング,42.2,700,,1972,
ベンネヴィス 2005 14年 53.9%ザ・モルトマン,,https://www.saketry.com/111589.html,スコットランド,ハイランド,ザ・モルトマン,メドウサイド・ブレンディング,53.9,700,ベンネヴィス蒸留所,2005,23
シークレットスペイサイド 2006 12年 53.9%ザ・モルトマン,,https://www.saketry.com/111590.html,スコットランド,スペイサイド,ザ・モルトマン,メドウサイド・ブレンディング,53.9,700,,2006,
サラリーマン金太郎ラベル・シークレットスペイサイドモルト1994,,https://www.saketry.com/111594.html,スコットランド,,,小学館,51.6,700,,1994,
ワンダーカクテル シークレット・アイラ 2013 5年 ポートウッド&ワンダーカクテルvol.1セット,,https://www.saketry.com/111596.html,スコットランド,,,小学館,53.1,700,,,
インチマリン 2009 9年 57.2%,,https://www.saketry.com/111599.html,スコットランド,ハイランド,スコッチモルトセレクション,スコッチモルト・セールス,57.2,700,インチマリン,2009,8
カリラ 2011 8年  59.4%クランデニー,,https://www.saketry.com/111609.html,スコットランド,アイラ,クランデニー,ダグラス・マクギボン,59.4,700,カリラ蒸溜所,2011,26
シークレットオークニー 2009 10年 57.5%クーパーズチョイス,"香り：水気の多いフルーツやスパイスと軽いヘザーのスモークの融合
味わい：さらなるハチミツのようなヘザースモークを伴った美味なスパイス、レーズン、オーク
フィニッシュ：長引く甘美なスパイスと消えゆくスモーク",https://www.saketry.com/111611.html,スコットランド,アイランズ,ザ・クーパーズ・チョイス,ザ・ビンテージモルト,57.5,700,,2009,44
ウィリアムソン 2005 14年 マスカットフィニッシュ 54.0%ザ・クーパーズ・チョイス,"香り：防腐剤、アロマティックなエッジを伴った海藻、ピートの燃えカス
味わい：甘やかなワインのノートと重厚なスモークやタールの融合。モルトの甘味とシトラス感が重厚なピートとスモークに出会う
フィニッシュ：甘くフルーティーなスモーク、心地よい余韻、傑出している",https://www.saketry.com/111612.html,スコットランド,アイラ,ザ・クーパーズ・チョイス,ザ・ビンテージモルト,54,700,,2005,28
