商品名,テイスティングノート,URL,原産国,地域,ブランド,メーカー,アルコール度数（%）,容量 (ml／g),銘柄,ビンテージ,年数
デイドリーム 第7弾 マクダフ 2006 14年 バーボンバレル 50.4% 700MLDAYDREAM,"香り：リンゴのコンポート、トフィー、ココナッツ、ミルクティ。
味わい：トフィー、キャラメル、バニラクリーム、オークスパイス、紅茶の茶葉。",https://www.saketry.com/112489.html,スコットランド,スペイサイド,DAYDREAM,,50.4,700,マクダフ蒸留所,2006,14
THOMPSON BROS. タリバーディン 1993 28年 47.6% 700MLTHOMPSON BROS.,"香り：刈りとった草、アマルフィ産のレモンピール、グレープフルーツジュース、ブラジルナッツ、カボチャの種、セーム革。
味わい：ポルトガルカスタードタルト、サンダルウッド、ゴールデンサルタナ、ハーブカクテルビター。
フィニッシュ：オーク、ドライジンジャー、全粒粉パン、カボチャの種。",https://www.saketry.com/112490.html,スコットランド,ハイランド,THOMPSON BROS.,ドーノッホ蒸留所,47.6,700,タリバーディン蒸留所,1993,28
ダークネス 8年 スペイサイド シングルモルト 47.8% 700MLダークネスシリーズ,"香り：砂糖漬けのオレンジピール、ドライフルーツ、チョコレート、ピーナッツ、シナモン、クローブ。
味わい：レーズン、プルーン、アモンドケーキ、オーク。
フィニッシュ：チョコレート、オイリーなスモーク。",https://www.saketry.com/112491.html,スコットランド,スペイサイド,ダークネス,アトンブランズ,47.8,700,,,8
ダークネス グレンロセス 12年 54.6% 500MLダークネスシリーズ,"香り：レーズン、デーツ、チョコレート、バタースコッチ、カラメリゼしたクルミ、オーク。
味わい：ドライフルーツ、チョコレート、ハチミツ、糖蜜。
フィニッシュ：ジンジャー、シナモン。",https://www.saketry.com/112492.html,スコットランド,スペイサイド,ダークネス,アトンブランズ,54.6,500,グレンロセス蒸留所,,12
ウイスキー ギャラリー プルトニー 2000 21年 バーボンバレル 55.8% 700MLウイスキー ギャラリー,"香り：クリーミーなバニラ、ハチミツ、リコリス、潮風、オーク、ほんのりシトラス。
味わい：完熟したリンゴ、ハチミツ、バニラクリーム、ジンキャーブレット、焦がしたオーク。
フィニッシュ：潮、苦味を含んだフルーツ、心地よい余韻。",https://www.saketry.com/112493.html,スコットランド,ハイランド,Whisky Gallery,,55.8,700,プルトニー蒸溜所,2000,21
&Girls ダフタウン 2008 13年 ホグスヘッド 53.8% 700ML&Girls,"香り：蜜入りリンゴ、ハチミツ、バニラ、モルト、オイル。
味わい：オイリー、ハチミツ、甘露あめ、ジンジャー、ホワイトペッパー。
フィニッシュ：桃、やわかな甘味の余韻。",https://www.saketry.com/112494.html,スコットランド,スペイサイド,&Gitls,,53.8,700,ダフタウン蒸留所,2008,13
ブロッサムズ シークレット ハイランド 1989 31年 シェリーバット 50.0% 700MLブロッサムズ,"香り：デーツ、レーズン、過熟したフルーツ、アンティーク家具、オールドレザー、コーヒー。
味わい：ソフトドライイチジク、プルーン、ダークチリ―、ドライキウイ、ローストナッツ、クローブ、タバコ。
フィニッシュ：長い余韻。",https://www.saketry.com/112495.html,スコットランド,ハイランド,ブロッサムズ,,50,700,,1989,31
クラウニングカスク スプリングバンク 2000 21年 1stフィル シェリーホグスヘッド 49.1% 700MLクラウニングカスク,,https://www.saketry.com/112496.html,スコットランド,キャンベルタウン,クラウニングカスク,,49.1,700,スプリングバンク,2000,21
ウイスキーミュウ あしたのジョー ｢矢吹丈｣ラベル ストラスミル 1991 30年 52.7% 700ML漫画ラベルシリーズ,"香り：サバランの甘い香り。桃のコンポート。 モルティー、ナッティーで、ややオイリー。
味わい：はっきりとナッティー（クルミ、カシューナッツ）、天津甘栗の皮。スパイス入りのミルクティー。
フィニッシュ：ラムの甘みとスパイシーさ。加水するとライトでフルーティ―になり、飲みやすくなる。",https://www.saketry.com/112497.html,スコットランド,スペイサイド,漫画ラベルシリーズ,,52.7,700,ストラスミル蒸溜所,1991,30
あしたのジョー ｢力石徹｣ラベル インバーゴードン 1970 50年 40.8% 700ML漫画ラベルシリーズ,"香り：高級なソフトクリームとビスケット。 カスタード・プリンとオレンジ・ピール。ミンティーな爽やかさ。
味わい：オレンジの果汁とアンゴスチュラ・ビターズ。スムーズで優しいがリッチ。フィニッシュも心地よい。加水すると魅力が弱まる。
フィニッシュ：50年熟成という奇跡のようなグレーンウイスキー。ウッディすぎず、バランスが良い。加水せずに、ゆっくりと味わってほしい。",https://www.saketry.com/112498.html,スコットランド,ハイランド,漫画ラベルシリーズ,,40.8,700,インバーゴードン蒸溜所,1970,50
