商品名,テイスティングノート,URL,原産国,地域,ブランド,メーカー,アルコール度数（%）,容量 (ml／g),銘柄,ビンテージ,年数,tokens,tokens_cleaned
カバリュス リンクウッド2007 13年 56.0% 700mlカバリュスシリーズ,"香り：白い花、オレンジ、綿あめ、トーストしたオーク。
味わい：オレンジゼリー、アプリコットジャム、ジンジャー。
フィニッシュ：金平糖のような甘味が広がる。",https://www.saketry.com/112270.html,スコットランド,スペイサイド,CABALLUS,,56,700.0,リンクウッド蒸留所,2007,13,香り ： 白い 花 、 オレンジ 、 綿 あめ 、 トースト し た オーク 。 味わい ： オレンジ ゼリー 、 アプリコットジャム 、 ジンジャー 。 フィニッシュ ： 金平糖 の よう な 甘味 が 広がる 。,白い オレンジ あめ トースト オーク オレンジ ゼリー アプリコットジャム ジンジャー 金平糖 よう 甘味 広がる
グレンアラヒー15年 46% 700mlグレンアラヒー,"香り：レーズンの香り、バタースコッチのこってりとしたアマロ、シナモンやクローブといった甘やかなスパイス。
味わい：レーズン、バタースコッチ、甘いスパイス。
フィニッシュ：バナナ、オレンジヒール、ダークチョコレート。",https://www.saketry.com/112272.html,スコットランド,スペイサイド,グレンアラヒー,,46,700.0,グレンアラヒー蒸留所,,15,香り ： レーズン の 香り 、 バター スコッチ の こってり と し た アマ ロ 、 シナモン や クローブ といった 甘 や か な スパイス 。 味わい ： レーズン 、 バター スコッチ 、 甘い スパイス 。 フィニッシュ ： バナナ 、 オレンジ ヒール 、 ダーク チョコレート 。,レーズン バター スコッチ こってり アマ シナモン クローブ といった スパイス レーズン バター スコッチ 甘い スパイス バナナ オレンジ ヒール ダーク チョコレート
『銀河鉄道999』ラベル  シークレットグレーン1976 43YO 45.3% 700ml漫画ラベルシリーズ,"香り：ミントの葉を添えたオレンジシャーベット。トフィー（キャラメル）とカスタードプリンの甘さ。次第に、上品なビスケットの香り。
味わい：高級なバニラアイス。スライスしたオレンジのドライフルーツ。穏やかな甘さとウッディさのバランスが良い。
フィニッシュ：優しく、徐々にスパイシーさとオイリーさが出てくる。",https://www.saketry.com/112273.html,スコットランド,,漫画ラベルシリーズ,ウイスキーミュウ,45.3,700.0,,1976,43,香り ： ミント の 葉 を 添え た オレンジ シャーベット 。 トフィー （ キャラメル ） と カスタード プリン の 甘 さ 。 次第に 、 上品 な ビスケット の 香り 。 味わい ： 高級 な バニラ アイス 。 スライス し た オレンジ の ドライ フルーツ 。 穏やか な 甘 さ と ウッディ さ の バランス が 良い 。 フィニッシュ ： 優しく 、 徐々に スパイシー さ と オイリー さ が 出 て くる 。,ミント 添え オレンジ シャーベット トフィー キャラメル カスタード プリン 次第に 上品 ビスケット 高級 バニラ アイス スライス オレンジ ドライ フルーツ 穏やか ウッディ バランス 良い 優しく 徐々に スパイシー オイリー くる
ウイスキー ミュウ 『銀河鉄道999』ラベル  ブナハーブン1987 33YO 52.1% 700ml漫画ラベルシリーズ,"香り：うっとりとするような魅惑的な香り。すりおろしリンゴ。完熟の桃の皮と種。徐々に、芳ばしい麦芽とみずみずしいナッツが出てくる。
味わい：濃厚な香りの花。熟成庫にある樽の心地よい官能的なフレーバー。
フィニッシュ：ハチミツとフェンネルなどのスパイス。加水すると柑橘類の皮と渋みが出る。",https://www.saketry.com/112274.html,スコットランド,アイラ,漫画ラベルシリーズ,ウイスキーミュウ,52.1,700.0,ブナハーブン蒸留所,1987,33,香り ： うっとり と する よう な 魅惑 的 な 香り 。 すり おろし リンゴ 。 完熟 の 桃 の 皮 と 種 。 徐々に 、 芳ばしい 麦芽 と みずみずしい ナッツ が 出 て くる 。 味わい ： 濃厚 な 香り の 花 。 熟成 庫 に ある 樽 の 心地よい 官能 的 な フレーバー 。 フィニッシュ ： ハチミツ と フェンネル など の スパイス 。 加水 する と 柑橘類 の 皮 と 渋み が 出る 。,うっとり よう 魅惑 すり おろし リンゴ 完熟 徐々に 芳ばしい 麦芽 みずみずしい ナッツ くる 濃厚 熟成 心地よい 官能 ハチミツ フェンネル など スパイス 加水 柑橘類 渋み 出る
アードナムルッカン 04.21:03 46.8% 700mlアードナムルッカン,"香り：ママレード、ハニー、ソルト＆ミント、オレンジピール、海のロープに張り付いたムール貝、焼いたオレンジの皮に清涼感のあるミント。
味わい：ハニー＆オレンジの甘さ、ソルティーなカシューナッツとピートナッツの砂糖がけ菓子、揚げたバナナに燻った流木。
フィニッシュ：ペッパー感が程よく残り心地良い。",https://www.saketry.com/112277.html,スコットランド,ハイランド,,アデルフィ・ディスティラリー,700,700.0,アードナムルッカン蒸留所,,46.8,香り ： ママレード 、 ハニー 、 ソルト ＆ ミント 、 オレンジピール 、 海 の ロープ に 張り付い た ムール貝 、 焼い た オレンジ の 皮 に 清涼 感 の ある ミント 。 味わい ： ハニー ＆ オレンジ の 甘 さ 、 ソル ティー な カシュー ナッツ と ピート ナッツ の 砂糖 がけ 菓子 、 揚げ た バナナ に 燻っ た 流木 。 フィニッシュ ： ペッパー 感 が 程よく 残り 心地 良い 。,ママレード ハニー ソルト ミント オレンジピール ロープ 張り付い ムール貝 焼い オレンジ 清涼 ミント ハニー オレンジ ソル ティー カシュー ナッツ ピート ナッツ 砂糖 がけ 菓子 揚げ バナナ 燻っ 流木 ペッパー 程よく 残り 心地 良い
アラン 2015 へビリーピーテッド シェリー ホグスヘッド 61.8% 700mlアラン,"香り：ピートスモーク、トフィー、デーツ、ローストしたナッツ、ドライアプリコット。
味わい：ドライフルーツパウンドケーキ、トフィー、ピートスモーク。
フィニッシュ：やわらかな甘み、深煎りしたコーヒー豆。",https://www.saketry.com/112278.html,スコットランド,アイランズ,,,61.8,700.0,アイル オブ アラン蒸溜所,2015,5,香り ： ピートスモーク 、 トフィー 、 デーツ 、 ロースト し た ナッツ 、 ドライアプリコット 。 味わい ： ドライフルーツパウンドケーキ 、 トフィー 、 ピートスモーク 。 フィニッシュ ： やわらか な 甘み 、 深 煎り し た コーヒー 豆 。,ピートスモーク トフィー デーツ ロースト ナッツ ドライアプリコット ドライフルーツパウンドケーキ トフィー ピートスモーク やわらか 甘み 煎り コーヒー
デイドリーム 第5弾 ミルトンタフ 2008 11年 ポイヤック  プルミエクリュカスクDAYDREAM,"香り：トフィークリーム、ブラックチェリー、ブルーベリー、オールドレザー、タバコの葉。
味わい：トフィー、バニラ、ブルーベリーキャンディ。
フィニッシュ：ダークスパイス、トーストしたオーク。",https://www.saketry.com/112279.html,スコットランド,スペイサイド,DAYDREAM,,52.3,700.0,ミルトンダフ蒸留所,2008,11,香り ： トフィークリーム 、 ブラック チェリー 、 ブルーベリー 、 オールド レザー 、 タバコ の 葉 。 味わい ： トフィー 、 バニラ 、 ブルーベリー キャンディ 。 フィニッシュ ： ダーク スパイス 、 トースト し た オーク 。,トフィークリーム ブラック チェリー ブルーベリー オールド レザー タバコ トフィー バニラ ブルーベリー キャンディ ダーク スパイス トースト オーク
鄭問三國志 - 赤壁之戰 Kilbride(Lxxxxxxxg)1993 27年 49.2% 700ml鄭問三國志,"香り：灰、ヨード、燻製したプラム、潮風、ハムの燻製、ダークフルーツ、洋ナシの煮込み、ダークチョコレート、リュウガンの燻製、ピート、タバコ、紅茶。
味わい：ダークフルーツ、チョコレート、スモークプラム、ドライフルーツ、リュウガンハニー、アッシュ、僅かな火薬、ミネラル感と塩辛さ、穏やかなテクスチャー。
フィニッシュ：スモーキーと灰、潮風、スペインハム、リュウガンハニー、セイロンティー。",https://www.saketry.com/112282.html,スコットランド,アイラ,鄭問三國志,THE WHISKY FIND,49.2,700.0,ラフロイグ蒸留所,1993,27,香り ： 灰 、 ヨード 、 燻製 し た プラム 、 潮風 、 ハム の 燻製 、 ダーク フルーツ 、 洋 ナシ の 煮込み 、 ダーク チョコレート 、 リュウガン の 燻製 、 ピート 、 タバコ 、 紅茶 。 味わい ： ダーク フルーツ 、 チョコレート 、 スモークプラム 、 ドライ フルーツ 、 リュウガンハニー 、 アッシュ 、 僅か な 火薬 、 ミネラル 感 と 塩辛 さ 、 穏やか な テクスチャー 。 フィニッシュ ： スモーキー と 灰 、 潮風 、 スペイン ハム 、 リュウガンハニー 、 セイロンティー 。,ヨード 燻製 プラム 潮風 ハム 燻製 ダーク フルーツ ナシ 煮込み ダーク チョコレート リュウガン 燻製 ピート タバコ 紅茶 ダーク フルーツ チョコレート スモークプラム ドライ フルーツ リュウガンハニー アッシュ 僅か 火薬 ミネラル 塩辛 穏やか テクスチャー スモーキー 潮風 スペイン ハム リュウガンハニー セイロンティー
ミャオジアム  - The Caterwaul ブルックラディ 2004 16年 49.2% 700mlMeowseum,"香り：フルーティー、ピート、潮風、ハニーケーキ、モルトの甘さ。
味わい：スモーキー、ピーティー、カキ、トロピカルフルーツ、ドライフルーツ、ミネラル。
フィニッシュ：フルーティー、スモーキー、リュウガンの燻製、炭火焼きベーコン、ピートや灰の味わいが残る。pan>",https://www.saketry.com/112283.html,スコットランド,アイラ,MEOWSEUM,THE WHISKY FIND,63,700.0,ブルックラディ蒸留所,2004,16,香り ： フルーティー 、 ピート 、 潮風 、 ハニーケーキ 、 モルト の 甘 さ 。 味わい ： スモーキー 、 ピーティー 、 カキ 、 トロピカル フルーツ 、 ドライ フルーツ 、 ミネラル 。 フィニッシュ ： フルーティー 、 スモーキー 、 リュウガン の 燻製 、 炭火 焼き ベーコン 、 ピート や 灰 の 味わい が 残る 。 pan >,フルーティー ピート 潮風 ハニーケーキ モルト スモーキー ピーティー カキ トロピカル フルーツ ドライ フルーツ ミネラル フルーティー スモーキー リュウガン 燻製 炭火 焼き ベーコン ピート 残る pan
TWA & TR  グレントファース 1989 31年 44.1% 700MLTWA & TR ART WORK,"香り：陶酔感、完璧なバナナ、シナモン、白檀、奥には甘い柑橘ジャム。
味わい：甘くソフト、完熟バナナにシナモン、ライチキャンディ。
フィニッシュ：ライトなビターがゆっくりと優しく続く。",https://www.saketry.com/112303.html,スコットランド,スペイサイド,アートワーク,THE WHISKY AGENCY & THREE RIVERS,44.1,700.0,グレントファース蒸留所,1989,31,香り ： 陶酔 感 、 完璧 な バナナ 、 シナモン 、 白檀 、 奥 に は 甘い 柑橘 ジャム 。 味わい ： 甘く ソフト 、 完熟 バナナ に シナモン 、 ライチ キャンディ 。 フィニッシュ ： ライト な ビター が ゆっくり と 優しく 続く 。,陶酔 完璧 バナナ シナモン 白檀 甘い 柑橘 ジャム 甘く ソフト 完熟 バナナ シナモン ライチ キャンディ ライト ビター ゆっくり 優しく 続く
